Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.13    0.00  233004/575510      MsClusterDataStorage::selectDistancePeaksFromMultipleSigneltons(Cluster*) [29]
                0.18    0.00  342506/575510      Cluster::selectDistancePeaksAndTopIdxs() [21]
[30]     0.4    0.31    0.00  575510+2929630 void std::__introsort_loop<__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, long>(__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, __gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, long) [30]
                0.00    0.00     348/348         void std::__adjust_heap<__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, long, DistancePeak>(__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, long, long, DistancePeak) [144]
                             2929630             void std::__introsort_loop<__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, long>(__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, __gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, long) [30]
-----------------------------------------------
                0.21    0.00     444/444         MsClusterDataStorage::makeListOfSimilarities(unsigned long, unsigned long, unsigned long, unsigned long, float) [23]
[31]     0.3    0.21    0.00     444         void std::sort<__gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > > >(__gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >, __gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >) [31]
                0.00    0.00     444/338015      void std::__introsort_loop<__gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >, long>(__gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >, __gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >, long) [27]
                0.00    0.00     444/338015      void std::__insertion_sort<__gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > > >(__gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >, __gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >) [48]
-----------------------------------------------
                0.00    0.20      30/30          MsClusterDataStorage::addNewSpectra(float, unsigned int*) [5]
[32]     0.3    0.00    0.20      30         DatFileManager::readSpectraToStorage(SingleSpectrumHeader*, Peak*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> >&, unsigned long&, unsigned long&) [32]
                0.18    0.01    1128/1128        DatFile::readDatSpectraToStorage(Config const*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > const&, int, SingleSpectrumHeader*, Peak*, unsigned long&, unsigned long&, unsigned long, unsigned long) [33]
                0.01    0.00      30/30          void std::__introsort_loop<__gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, long, bool (*)(DatSpectrumStats const&, DatSpectrumStats const&)>(__gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, __gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, long, bool (*)(DatSpectrumStats const&, DatSpectrumStats const&)) [clone .constprop.154] [77]
                0.00    0.00    1128/1176        DatFile::closeAfterReading() [134]
                0.00    0.00    1128/2304        DatFile::openForReading(char const*) [128]
                0.00    0.00      30/30          void std::__insertion_sort<__gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, bool (*)(DatSpectrumStats const&, DatSpectrumStats const&)>(__gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, __gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, bool (*)(DatSpectrumStats const&, DatSpectrumStats const&)) [clone .constprop.159] [182]
-----------------------------------------------
                0.18    0.01    1128/1128        DatFileManager::readSpectraToStorage(SingleSpectrumHeader*, Peak*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> >&, unsigned long&, unsigned long&) [32]
[33]     0.3    0.18    0.01    1128         DatFile::readDatSpectraToStorage(Config const*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > const&, int, SingleSpectrumHeader*, Peak*, unsigned long&, unsigned long&, unsigned long, unsigned long) [33]
                0.01    0.00  342506/342506      SingleSpectrumHeader::scanSpectrumHeaderFromBuffer(char const*, Config const*) [70]
-----------------------------------------------
                0.01    0.16  342506/342506      DatFileWriter::convertDataToDatFirstPass(MsParameterStruct const*) [1]
[34]     0.2    0.01    0.16  342506         DatFile::writePeakList(PeakList const&, SingleSpectrumHeader const*) [34]
                0.16    0.00  342506/342506      PeakList::writeToDatBuffer(char*, SingleSpectrumHeader const*) const [37]
-----------------------------------------------
                0.00    0.17       1/1           MsClusterAlgorithm::performClustering(MsParameterStruct*, AllScoreModels const*, bool) [4]
[35]     0.2    0.00    0.17       1         MsClusterDataStorage::allocateMemory(float, bool) [35]
                0.07    0.00       1/1           std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> >::_M_fill_insert(__gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >, unsigned long, ClusterPositionPair const&) [45]
                0.07    0.00       1/1           std::vector<Cluster, std::allocator<Cluster> >::_M_fill_insert(__gnu_cxx::__normal_iterator<Cluster*, std::vector<Cluster, std::allocator<Cluster> > >, unsigned long, Cluster const&) [46]
                0.02    0.00       1/7           std::vector<Peak, std::allocator<Peak> >::_M_fill_insert(__gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > >, unsigned long, Peak const&) [43]
                0.01    0.00       1/1           std::vector<SingleSpectrumHeader, std::allocator<SingleSpectrumHeader> >::_M_fill_insert(__gnu_cxx::__normal_iterator<SingleSpectrumHeader*, std::vector<SingleSpectrumHeader, std::allocator<SingleSpectrumHeader> > >, unsigned long, SingleSpectrumHeader const&) [80]
                0.00    0.00       1/220281      Cluster::~Cluster() [110]
-----------------------------------------------
                0.14    0.02   77080/77080       MsClusterDataStorage::writeRegularClustersToOutput(unsigned long, unsigned long&, unsigned long&) [7]
[36]     0.2    0.14    0.02   77080         MsClusterDataStorage::makeClusterMembersStringAndSelectTitleAndPeptide(unsigned int, std::basic_ostringstream<char, std::char_traits<char>, std::allocator<char> >&, char const*&, std::string&) const [36]
                0.00    0.02   54192/54192       void std::__insertion_sort<__gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > > >(__gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > >, __gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > >) [65]
                0.00    0.00   54192/108390      std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_erase(std::_Rb_tree_node<std::pair<std::string const, int> >*) [72]
                0.00    0.00   20212/193424      void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > > >(__gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > >) [58]
                0.00    0.00  319618/319618      MsSimilarityModel::computePValue(unsigned long, unsigned long, float) const [107]
                0.00    0.00   54192/54192       void std::__introsort_loop<__gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > >, long>(__gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > >, __gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > >, long) [123]
-----------------------------------------------
                0.16    0.00  342506/342506      DatFile::writePeakList(PeakList const&, SingleSpectrumHeader const*) [34]
[37]     0.2    0.16    0.00  342506         PeakList::writeToDatBuffer(char*, SingleSpectrumHeader const*) const [37]
                0.00    0.00  342506/342506      SingleSpectrumHeader::writeHeaderToDatBuffer(char*) const [105]
-----------------------------------------------
                0.00    0.15   77080/77080       MsClusterDataStorage::writeRegularClustersToOutput(unsigned long, unsigned long&, unsigned long&) [7]
[38]     0.2    0.00    0.15   77080         ClusterOutputter::outputCluster(Cluster const&, std::string const&, bool, bool) [38]
                0.00    0.15   77080/77080       OutputFilesForMzSlice::writeClusterToOutputFiles(Cluster const&, std::string const&, SingleSpectrumHeader const*, bool) [39]
-----------------------------------------------
                0.00    0.15   77080/77080       ClusterOutputter::outputCluster(Cluster const&, std::string const&, bool, bool) [38]
[39]     0.2    0.00    0.15   77080         OutputFilesForMzSlice::writeClusterToOutputFiles(Cluster const&, std::string const&, SingleSpectrumHeader const*, bool) [39]
                0.14    0.01   77080/77080       PeakList::outputToMgfBuffer(char*, SingleSpectrumHeader const*) const [40]
                0.00    0.00  154160/154160      BufferedOutputFile::writeToBuffer(char const*, unsigned long) [112]
                0.00    0.00      48/48          OutputFilesForMzSlice::open() [174]
-----------------------------------------------
                0.14    0.01   77080/77080       OutputFilesForMzSlice::writeClusterToOutputFiles(Cluster const&, std::string const&, SingleSpectrumHeader const*, bool) [39]
[40]     0.2    0.14    0.01   77080         PeakList::outputToMgfBuffer(char*, SingleSpectrumHeader const*) const [40]
                0.01    0.00   77080/77080       SingleSpectrumHeader::writeHeaderToMgfBuffer(char*) const [73]
-----------------------------------------------
                0.06    0.00  233004/575510      MsClusterDataStorage::selectDistancePeaksFromMultipleSigneltons(Cluster*) [29]
                0.08    0.00  342506/575510      Cluster::selectDistancePeaksAndTopIdxs() [21]
[41]     0.2    0.14    0.00  575510         void std::__insertion_sort<__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > > >(__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, __gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >) [41]
-----------------------------------------------
                              700151             void std::__introsort_loop<__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, long, bool (*)(DistancePeak const&, DistancePeak const&)>(__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, __gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, long, bool (*)(DistancePeak const&, DistancePeak const&)) [clone .constprop.523] [42]
                0.13    0.00  233004/233004      MsClusterDataStorage::selectDistancePeaksFromMultipleSigneltons(Cluster*) [29]
[42]     0.2    0.13    0.00  233004+700151  void std::__introsort_loop<__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, long, bool (*)(DistancePeak const&, DistancePeak const&)>(__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, __gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, long, bool (*)(DistancePeak const&, DistancePeak const&)) [clone .constprop.523] [42]
                              700151             void std::__introsort_loop<__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, long, bool (*)(DistancePeak const&, DistancePeak const&)>(__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, __gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, long, bool (*)(DistancePeak const&, DistancePeak const&)) [clone .constprop.523] [42]
-----------------------------------------------
                0.02    0.00       1/7           MsClusterDataStorage::makeConsensusForSmallCluster(Cluster*, SingleSpectrumHeader*, bool) [10]
                0.02    0.00       1/7           MsClusterDataStorage::allocateMemory(float, bool) [35]
                0.09    0.00       5/7           PeakList::joinAdjacentPeaks(float, bool) [25]
[43]     0.2    0.12    0.00       7         std::vector<Peak, std::allocator<Peak> >::_M_fill_insert(__gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > >, unsigned long, Peak const&) [43]
-----------------------------------------------
                0.07    0.00 8825118/8825118     void std::__introsort_loop<__gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > >, long>(__gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > >, __gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > >, long) [24]
[44]     0.1    0.07    0.00 8825118         void std::__move_median_to_first<__gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > > >(__gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > >, __gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > >, __gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > >, __gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > >) [44]
-----------------------------------------------
                0.07    0.00       1/1           MsClusterDataStorage::allocateMemory(float, bool) [35]
[45]     0.1    0.07    0.00       1         std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> >::_M_fill_insert(__gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >, unsigned long, ClusterPositionPair const&) [45]
-----------------------------------------------
                0.07    0.00       1/1           MsClusterDataStorage::allocateMemory(float, bool) [35]
[46]     0.1    0.07    0.00       1         std::vector<Cluster, std::allocator<Cluster> >::_M_fill_insert(__gnu_cxx::__normal_iterator<Cluster*, std::vector<Cluster, std::allocator<Cluster> > >, unsigned long, Cluster const&) [46]
-----------------------------------------------
                              365619             void std::__introsort_loop<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, long>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, long) [47]
                0.07    0.00   14896/14896       PeakList::filterWeakPeaks(Config const*, float, int, bool) [2]
[47]     0.1    0.07    0.00   14896+365619  void std::__introsort_loop<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, long>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, long) [47]
                              365619             void std::__introsort_loop<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, long>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, long) [47]
-----------------------------------------------
                0.00    0.00     444/338015      void std::sort<__gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > > >(__gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >, __gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >) [31]
                0.06    0.00  337571/338015      MsClusterDataStorage::makeListOfSimilarities(unsigned long, unsigned long, unsigned long, unsigned long, float) [23]
[48]     0.1    0.06    0.00  338015         void std::__insertion_sort<__gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > > >(__gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >, __gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >) [48]
-----------------------------------------------
                0.04    0.00  233004/233004      MsClusterDataStorage::selectDistancePeaksFromMultipleSigneltons(Cluster*) [29]
[49]     0.1    0.04    0.00  233004         void std::__insertion_sort<__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, bool (*)(DistancePeak const&, DistancePeak const&)>(__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, __gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, bool (*)(DistancePeak const&, DistancePeak const&)) [clone .constprop.535] [49]
-----------------------------------------------
                0.04    0.00  233004/233004      MsClusterDataStorage::selectDistancePeaksFromMultipleSigneltons(Cluster*) [29]
[50]     0.1    0.04    0.00  233004         void std::__insertion_sort<DistancePeak*>(DistancePeak*, DistancePeak*) [50]
-----------------------------------------------
                0.04    0.00   54192/54192       MsClusterDataStorage::makeConsensusForSmallCluster(Cluster*, SingleSpectrumHeader*, bool) [10]
[51]     0.1    0.04    0.00   54192         Cluster::adjustMaxPossiblePeakCounts(std::vector<MassCount, std::allocator<MassCount> > const&, std::vector<MassCount, std::allocator<MassCount> > const&) [51]
-----------------------------------------------
                0.04    0.00  962105/962105      void std::__introsort_loop<__gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > >, long>(__gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > >, __gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > >, long) [24]
[52]     0.0    0.04    0.00  962105         void std::__adjust_heap<__gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > >, long, Peak>(__gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > >, long, long, Peak) [52]
-----------------------------------------------
                              426404             void std::__introsort_loop<DistancePeak*, long>(DistancePeak*, DistancePeak*, long) [53]
                0.03    0.00  233004/233004      MsClusterDataStorage::selectDistancePeaksFromMultipleSigneltons(Cluster*) [29]
[53]     0.0    0.03    0.00  233004+426404  void std::__introsort_loop<DistancePeak*, long>(DistancePeak*, DistancePeak*, long) [53]
                              426404             void std::__introsort_loop<DistancePeak*, long>(DistancePeak*, DistancePeak*, long) [53]
-----------------------------------------------
                0.03    0.00   54192/54192       MsClusterDataStorage::makeConsensusForSmallCluster(Cluster*, SingleSpectrumHeader*, bool) [10]
[54]     0.0    0.03    0.00   54192         PeakList::sanityCheck() const [54]
-----------------------------------------------
                0.00    0.02      30/30          MsClusterDataStorage::addNewSpectra(float, unsigned int*) [5]
[55]     0.0    0.00    0.02      30         DatFileManager::getNewDatSpectraStats(unsigned long, unsigned long, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> >&) [55]
                0.00    0.01      30/30          DatFileManager::setDatStatsRelativePositions(std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> >&) const [67]
                0.00    0.01    1128/1128        DatFile::readAndAddDatSpectrumStats(std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> >&, unsigned int) [75]
-----------------------------------------------
                0.02    0.00  521695/521695      MsClusterDataStorage::computeMinSimilarityForJoiningFromLists(double, unsigned long, unsigned long) [59]
[56]     0.0    0.02    0.00  521695         MsSimilarityModel::computeMinSimilarityAllowed(unsigned long, unsigned long, double) const [56]
-----------------------------------------------
                0.02    0.00  233004/233004      MsClusterDataStorage::selectDistancePeaksFromMultipleSigneltons(Cluster*) [29]
[57]     0.0    0.02    0.00  233004         Cluster::setAdjustedIntensities() [57]
-----------------------------------------------
                0.00    0.00   20212/193424      MsClusterDataStorage::makeClusterMembersStringAndSelectTitleAndPeptide(unsigned int, std::basic_ostringstream<char, std::char_traits<char>, std::allocator<char> >&, char const*&, std::string&) const [36]
                0.02    0.00  173212/193424      void std::__insertion_sort<__gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > > >(__gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > >, __gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > >) [65]
[58]     0.0    0.02    0.00  193424         void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > > >(__gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > >) [58]
-----------------------------------------------
                0.00    0.02     444/444         MsClusterAlgorithm::performClustering(MsParameterStruct*, AllScoreModels const*, bool) [4]
[59]     0.0    0.00    0.02     444         MsClusterDataStorage::computeMinSimilarityForJoiningFromLists(double, unsigned long, unsigned long) [59]
                0.02    0.00  521695/521695      MsSimilarityModel::computeMinSimilarityAllowed(unsigned long, unsigned long, double) const [56]
-----------------------------------------------
                0.02    0.00     365/365         void std::__introsort_loop<__gnu_cxx::__normal_iterator<IndexIntensityPair*, std::vector<IndexIntensityPair, std::allocator<IndexIntensityPair> > >, long>(__gnu_cxx::__normal_iterator<IndexIntensityPair*, std::vector<IndexIntensityPair, std::allocator<IndexIntensityPair> > >, __gnu_cxx::__normal_iterator<IndexIntensityPair*, std::vector<IndexIntensityPair, std::allocator<IndexIntensityPair> > >, long) [26]
[60]     0.0    0.02    0.00     365         void std::__adjust_heap<__gnu_cxx::__normal_iterator<IndexIntensityPair*, std::vector<IndexIntensityPair, std::allocator<IndexIntensityPair> > >, long, IndexIntensityPair>(__gnu_cxx::__normal_iterator<IndexIntensityPair*, std::vector<IndexIntensityPair, std::allocator<IndexIntensityPair> > >, long, long, IndexIntensityPair) [60]
-----------------------------------------------
                0.02    0.00      90/90          SpectraFile::scanMgfFile(char const*, int, int, Config const*, bool) [11]
[61]     0.0    0.02    0.00      90         std::vector<SingleSpectrumHeader, std::allocator<SingleSpectrumHeader> >::_M_insert_aux(__gnu_cxx::__normal_iterator<SingleSpectrumHeader*, std::vector<SingleSpectrumHeader, std::allocator<SingleSpectrumHeader> > >, SingleSpectrumHeader const&) [61]
-----------------------------------------------
                               71052             void std::__introsort_loop<__gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, long>(__gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, __gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, long) [62]
                0.01    0.00      30/60          MsClusterDataStorage::addNewSpectra(float, unsigned int*) [5]
                0.01    0.00      30/60          DatFileManager::setDatStatsRelativePositions(std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> >&) const [67]
[62]     0.0    0.02    0.00      60+71052   void std::__introsort_loop<__gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, long>(__gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, __gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, long) [62]
                0.00    0.00   71052/71052       void std::__move_median_to_first<__gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > > >(__gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, __gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, __gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, __gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >) [118]
                               71052             void std::__introsort_loop<__gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, long>(__gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, __gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, long) [62]
-----------------------------------------------
                0.00    0.02      48/48          DatFileWriter::convertDataToDatSecondPass(std::string const&, std::string const&, std::string const&, float, int) [64]
[63]     0.0    0.00    0.02      48         DatFileWriter::writeDatFileToOtherDats(std::string const&, std::string const&, std::string const&, float, unsigned long&) [63]
                0.01    0.00  342506/342506      DatFile::getNextDatSpectrum(char*&, unsigned long&, float*, long*, char**) [71]
                0.01    0.00  342506/342506      DatFileWriter::writeDatSpectrumDirectly(char const*, unsigned long) [69]
                0.00    0.00      48/2304        DatFile::openForReading(char const*) [128]
                0.00    0.00      48/1176        DatFile::closeAfterReading() [134]
                0.00    0.00      48/252850      DatFile::~DatFile() [109]
-----------------------------------------------
                                                 <spontaneous>
[64]     0.0    0.00    0.02                 DatFileWriter::convertDataToDatSecondPass(std::string const&, std::string const&, std::string const&, float, int) [64]
                0.00    0.02      48/48          DatFileWriter::writeDatFileToOtherDats(std::string const&, std::string const&, std::string const&, float, unsigned long&) [63]
                0.00    0.00  240096/480596      DatFile::closeAfterWriting() [100]
                0.00    0.00    9744/252850      DatFile::~DatFile() [109]
                0.00    0.00     290/639         std::vector<std::string, std::allocator<std::string> >::_M_insert_aux(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, std::string const&) [138]
                0.00    0.00      96/196         std::vector<unsigned long, std::allocator<unsigned long> >::_M_fill_insert(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, unsigned long, unsigned long const&) [151]
                0.00    0.00      48/49          DatFileWriter::init(float) [172]
                0.00    0.00      48/48          DatFileWriter::~DatFileWriter() [173]
                0.00    0.00      48/99          std::vector<DatFile, std::allocator<DatFile> >::_M_fill_insert(__gnu_cxx::__normal_iterator<DatFile*, std::vector<DatFile, std::allocator<DatFile> > >, unsigned long, DatFile const&) [156]
                0.00    0.00       1/4           readListOfPaths(char const*, std::vector<std::string, std::allocator<std::string> >&, bool) [236]
                0.00    0.00       1/1           splitDatListIntoSameMzGroups(std::vector<std::string, std::allocator<std::string> > const&, std::vector<std::vector<std::string, std::allocator<std::string> >, std::allocator<std::vector<std::string, std::allocator<std::string> > > >&) [361]
                0.00    0.00       1/3           std::vector<std::string, std::allocator<std::string> >::operator=(std::vector<std::string, std::allocator<std::string> > const&) [248]
                0.00    0.00       1/2           DatFileWriter::writeDatPaths(bool) [256]
-----------------------------------------------
